Rozmiar tablicy	Dlugosc ciagu	Operacje
250	52300	245.380000
250	52400	250.210000
250	52500	250.060000
250	52600	251.020000
250	52700	250.510000
250	52800	252.010000
250	52900	250.810000
250	53000	252.260000
250	53100	252.050000
250	53200	251.580000
250	53300	252.480000
250	53400	252.190000
250	53500	253.980000
250	53600	254.200000
250	53700	256.350000
250	53800	253.650000
250	53900	255.950000
250	54000	257.490000
250	54100	255.830000
250	54200	257.740000
250	54300	258.250000
250	54400	255.180000
250	54500	258.750000
250	54600	258.370000
250	54700	259.270000
250	54800	261.470000
250	54900	260.040000
250	55000	261.390000
250	55100	260.070000
250	55200	258.830000
250	55300	261.290000
250	55400	265.080000
250	55500	263.340000
250	55600	263.490000
250	55700	264.090000
250	55800	263.370000
250	55900	263.290000
250	56000	263.460000
250	56100	266.410000
250	56200	266.580000
250	56300	267.060000
250	56400	266.000000
250	56500	267.420000
250	56600	267.700000
250	56700	269.940000
250	56800	269.380000
250	56900	271.570000
250	57000	271.750000
250	57100	271.670000
250	57200	268.650000
250	57300	270.840000
250	57400	270.120000
250	57500	274.070000
250	57600	271.680000
250	57700	276.450000
250	57800	275.070000
250	57900	273.170000
250	58000	276.120000
250	58100	274.990000
250	58200	277.610000
250	58300	278.140000
250	58400	277.650000
250	58500	278.660000
250	58600	279.860000
250	58700	280.450000
250	58800	280.220000
250	58900	281.250000
250	59000	282.190000
250	59100	280.960000
250	59200	282.480000
250	59300	282.750000
250	59400	282.300000
250	59500	281.410000
250	59600	286.070000
250	59700	284.690000
250	59800	282.440000
250	59900	282.280000
250	60000	287.180000
250	60100	283.660000
250	60200	284.650000
250	60300	290.080000
250	60400	285.050000
250	60500	288.460000
250	60600	289.050000
250	60700	288.150000
250	60800	290.680000
250	60900	289.070000
250	61000	290.180000
250	61100	290.190000
250	61200	293.990000
250	61300	290.700000
250	61400	291.980000
250	61500	294.450000
250	61600	293.160000
250	61700	294.980000
250	61800	297.000000
250	61900	295.720000
250	62000	297.700000
250	62100	295.280000
250	62200	295.830000
250	62300	299.980000
250	62400	297.520000
250	62500	291.370000
250	62600	295.210000
250	62700	300.380000
250	62800	300.400000
250	62900	299.100000
250	63000	296.580000
250	63100	296.450000
250	63200	296.280000
250	63300	303.140000
250	63400	298.580000
250	63500	301.240000
250	63600	305.250000
250	63700	300.630000
250	63800	305.410000
250	63900	302.420000
250	64000	302.640000
250	64100	306.100000
250	64200	302.690000
250	64300	304.470000
250	64400	304.440000
250	64500	308.390000
250	64600	306.070000
250	64700	306.970000
250	64800	307.650000
250	64900	305.440000
250	65000	309.540000
250	65100	308.530000
250	65200	311.930000
250	65300	307.200000
250	65400	313.960000
250	65500	310.350000
250	65600	310.940000
250	65700	312.910000
250	65800	310.770000
250	65900	315.260000
250	66000	311.090000
250	66100	312.770000
250	66200	311.560000
250	66300	313.620000
250	66400	314.560000
250	66500	314.450000
250	66600	317.250000
250	66700	314.720000
250	66800	313.230000
250	66900	315.180000
250	67000	317.600000
250	67100	322.200000
250	67200	319.730000
250	67300	321.150000
250	67400	320.650000
250	67500	320.700000
250	67600	321.580000
250	67700	321.920000
250	67800	319.750000
250	67900	321.400000
250	68000	320.710000
250	68100	323.380000
250	68200	322.180000
250	68300	324.840000
250	68400	323.740000
250	68500	325.730000
250	68600	324.520000
250	68700	325.420000
250	68800	327.890000
250	68900	326.270000
250	69000	332.000000
250	69100	333.080000
250	69200	327.830000
250	69300	330.810000
250	69400	332.520000
250	69500	327.930000
250	69600	327.590000
250	69700	330.610000
250	69800	333.570000
250	69900	333.180000
250	70000	331.510000
250	70100	330.450000
250	70200	334.490000
250	70300	332.870000
250	70400	336.220000
250	70500	332.940000
250	70600	333.620000
250	70700	337.520000
250	70800	337.650000
250	70900	335.490000
250	71000	337.250000
250	71100	334.680000
250	71200	337.970000
250	71300	337.530000
250	71400	340.200000
250	71500	342.510000
250	71600	344.230000
250	71700	339.190000
250	71800	342.180000
250	71900	337.410000
250	72000	342.620000
250	72100	340.740000
250	72200	345.610000
250	72300	341.080000
250	72400	342.810000
250	72500	344.290000
250	72600	343.690000
250	72700	344.270000
250	72800	345.720000
250	72900	346.420000
250	73000	348.000000
250	73100	344.240000
250	73200	343.610000
250	73300	352.230000
250	73400	345.680000
250	73500	349.020000
250	73600	348.850000
250	73700	349.110000
250	73800	349.520000
250	73900	352.040000
250	74000	355.500000
250	74100	351.140000
250	74200	354.190000
250	74300	351.400000
250	74400	353.440000
250	74500	351.680000
250	74600	354.920000
250	74700	351.640000
250	74800	352.240000
250	74900	350.850000
250	75000	356.690000
250	75100	356.300000
250	75200	358.270000
250	75300	364.250000
250	75400	358.730000
250	75500	361.540000
250	75600	360.430000
250	75700	360.900000
250	75800	361.330000
250	75900	359.950000
250	76000	357.890000
250	76100	362.410000
250	76200	364.090000
250	76300	360.040000
250	76400	359.300000
250	76500	362.420000
250	76600	363.760000
250	76700	364.530000
250	76800	362.700000
250	76900	365.760000
250	77000	363.910000
250	77100	363.660000
250	77200	365.980000
250	77300	368.570000
250	77400	371.440000
250	77500	369.080000
250	77600	366.510000
250	77700	369.360000
250	77800	367.660000
250	77900	371.550000
250	78000	369.180000
250	78100	367.290000
250	78200	374.550000
250	78300	373.160000
250	78400	368.820000
250	78500	372.790000
250	78600	373.550000
250	78700	374.180000
250	78800	376.000000
250	78900	373.490000
250	79000	375.200000
250	79100	373.700000
250	79200	374.670000
250	79300	379.460000
250	79400	378.660000
250	79500	378.300000
250	79600	377.540000
250	79700	378.300000
250	79800	377.920000
250	79900	380.040000
250	80000	377.300000
250	80100	381.290000
250	80200	383.750000
250	80300	384.510000
250	80400	379.730000
250	80500	381.460000
250	80600	389.600000
250	80700	385.160000
250	80800	383.180000
250	80900	384.920000
250	81000	384.760000
250	81100	381.490000
250	81200	386.630000
250	81300	387.800000
250	81400	385.310000
250	81500	386.780000
250	81600	389.150000
250	81700	388.390000
250	81800	386.550000
250	81900	387.450000
250	82000	388.220000
250	82100	388.600000
